,tweet_text,sentiment
0,RT I’m going to let this naughty video speak for itself and not add anything more except-turn your volume down if you’re…,1
1,RT ......@OHFCSO was first last night..........😀🙏💙🇺🇸#LivePD #LivePDNation,1
2,RT Look at my friendddd😍 https://t.co/KRPKitQj9A,1
3,RT,1
4,RT Negative ❄️ 5x7 canvas • $24 shipped Look at that color shift 😍💙 https://t.co/kf6fIsYRUH,1
5,RT So sleepy! 🙂 https://t.co/CKIe4IMPWb,1
6,RT Tag somebody you want to explore with 😍 https://t.co/TQhwpRISVN,1
7,RT Rt for Anitta 🤢 Fav for Pabllo Vittar 😍 https://t.co/1J7G1shqQ7,1
8,RT [EVENT🎉] GIVE AWAY ❣️ Just RT ✅ you can get one free 😍 Let's have our super cute bag together! 🛍💕 🍀 RANDOM THE LUCKIES…,1
9,RT Im #online now #SexySaturday 😚 https://t.co/4aDaFq2MPs #follow https://t.co/3kz9LnuWrk,1
10,I love it!!!! And everyone clapping! 😆😆😆,1
11,Aww de Jungkook!!! 😍💜😊,1
12,RT Have a nice Sunday everyone. Keep being positive. 😊😊 My greedy self still misses Jaehwan 😭😭 https://t.co/HB6JpvmpVI,1
13,Thank you for sharing! 😊,1
14,RT ASS for dayyysss 😍🍑🍑🍑🍑💦 https://t.co/906e7PHxn7,1
15,Thank you😊,1
16,RT Bringing this back to the time line because the violinist was cold and this lil hoe was throwing her li’ass 😭😍🙏🏼 https://…,1
17,Chief called and said......this WAS it 😍😍😍😍😍😍😍😍,1
18,RT Tsubasa Hanekawa has always been a beautiful GODDESS!! 😍💘 https://t.co/IVdIED0QuX,1
19,"RT So much Chocolate, So little time...😁😁😁💞💞💞 #LoveRomanceandChocolate #love #chocolate #romance #hallmark…",1
20,RT 😍 Bae #LonePraesto (#NextModels) on 🔥 #lastnight with her big sis ! #ModelNightOut 🎥 https://t.co/DXl4Me81E0 https://t…,1
21,"RT [FA] 190216 GOT7 Osaka Hitouch Even though OP didn’t put on her name plate, Youngjae still remembers her name and called “…",1
22,RT Future is here 😍 https://t.co/41SeuNBMwH,1
23,"RT I think,, to celebrate 2 years of spring day you should release the full footage of this moment 😊 https://t.co/t…",1
24,RT Good boy 😀🙂 https://t.co/GGfPMeuEQj,1
25,😂🤣 thats fine! I feel great!! Thankies😊,1
26,RT Flipping adorable/ amazing as partners &amp; lovers on-screen (go as far as to say: in life) can get!! Just can't deny/ fake/ man…,1
27,RT Next Show: March 7 is Korean Friendship Concert in Manila at the MOA Arena 🎫 FREE ENTRANCE 🎫 70 years of Friendship! 😍 yey!…,1
28,He's so handsome 😍 https://t.co/LjhJ8XSCk7,1
29,RT #RakulPreetSingh #RakulPreet hot mood out😘😍 https://t.co/iCv1CZymUO,1
30,That dress...and mustard yellow 😍😍😍,1
31,"RT I meant to behave but there were too many other options 🤣🤪😘 #naughty #Teaser Good night friends, good night #TwitterWorld…",1
32,RT The guy in line behind me at the grocery store is wearing airpods. How cool is it that the rich and powerful go shopping ju…,1
33,RT Have a nice weekend #deppheads 🤗 #JohnnyDepp https://t.co/4pu7VTvDGZ,1
34,I'd take them all😍💕 https://t.co/7v9ChR6Tou,1
35,baby Gracie's screenshots 😊💓💖💗💕💝💞 She's so adorable! https://t.co/BiTxdTAnM3,1
36,RT Tbh studying is much more fun when you have a clearer goal instead of just doing it for the sake of graduating. Find y…,1
37,RT this is so appreciated 😍 https://t.co/9bFdseKmjH,1
38,Good luck for your exams shivani 💕😘 Please go to the Philippines,1
39,should follow me back 😎✌🏻💜,1
40,So i dropped a 20 bomb in the share the love event! Check it out here😎 https://t.co/QhcAZ3ePTf via,1
41,RT I need to make $800 by the end of Feb on circle pay. $15 = 1 video #FOLLOW ⏩,1
42,RT Thiccc and beautiful 😍 https://t.co/yrvCOVPtv9,1
43,"RT We are on snapchat, add us you won't regret it 😜😍 username- itsfoodporn https://t.co/N1etzP0ho8",1
44,I love how cardi dance 😍,1
45,RT Nicki with black curly hair &gt;&gt;&gt; 😍😍 https://t.co/8hJQKm0uZx,1
46,RT Stray kitten becomes a man's best friend 🙂 https://t.co/SMjKzwIc8S,1
47,RT This week on LLP's channel there's a BLOCK PARTY going on! All cube games all week! No stream Wednesday 😆 Button Drop Part…,1
48,It's called Blue Chips from 1994 25 years later 😁👍,1
49,My phone os on silent mode anyway 😁,1
50,Good morning indeed! 😍,1
51,Thank you baby 😘,1
52,Extra pancakes 😆,1
53,RT Tentacles and cumflation were so close yall get both! Along with a bonus image! Thanks for 1000 followers and following me…,1
54,Meh. I just did what I wanted to do: assist you 😀,1
55,https://t.co/WVCI0uYim7,1
56,RT Let em know Bestie 😍😍 !! Buut thank youuuu 😘♥️,1
57,RT Happy Sana day again! Love how she instantly leaned in for kisses and didn’t let a single member pass before they kissed he…,1
58,"Woman, u r Beautiful 😘",1
59,RT 🔻 🔻 `·.·★ 𝐖𝐞𝐞𝐤𝐞𝐧𝐝 𝐅𝐮𝐧 ★·.·´ Let’s have Fun &amp; Grow your Patriot Follows! ✔️Follow me ✔️I Followback ✔️Retweet ✔️Fo…,1
60,This guy complemented my intelligence before saying anything about my appearance .........I think I’m in love 😍,1
61,"Thank you for taking the time to take a pic with my girls, they were so excited! 😎😎 https://t.co/3eMm3IDiND",1
62,Awesome 🤗,1
63,"RT Today area wise #Viswasam paper ad..! #Updated 😊 Chengalpat, Vellore, Salem, pondy area 👍( 2/2 ) #Thala #Ajith #Viswa…",1
64,"RT Alabama was fun, today love and , Great conversation with coach Saban 😁🙏🏾 #RollTide 🐘",1
65,"Take care always mom, love kitaaa mwah 😘😊❤️",1
66,RT going live with a game with some bright colors tonight 😄,1
67,Nahhhh fam you knew better than that 🤗,1
68,RT Thanks to MEGA Alum Heavyn Beals for helping with 13U-14U tryouts 2019 🏀😊👍@beals2002,1
69,When you close a door god opens a window 😘,1
70,yass😍 https://t.co/SJBrjVEMVS,1
71,Of course 😊.,1
72,Hi Romeo we would love to hear Low Key by Ally Brooke feat. Tyga on… https://t.co/KL1SeDQ423,1
73,"RT And after seeing this, news is Pakistan army offering you the position of their media advisor😊. You have…",1
74,RT PRE / 190216 LY Tour Fukuoka #태형 #뷔 #태태 #님준 #방탄소년단 #BTS It's not HD but I want to share this moment when Taehyung hug…,1
75,RT © love jeno 😎 ♡ https://t.co/5ngxuXUBTS https://t.co/K84TKob2MO,1
76,RT Lynnzee Brown just had the biggest DLO dismount we’ve ever seen on bars! Stunning! 😲😎💪🏽,1
77,Brutal face fuck her!!! 😈😍👌 https://t.co/J3RZU2sfzS,1
78,Huge game tomorrow for the Tonka Boyz as they take on 6th place Agave Come out and show your support for your favo… https://t.co/QTP1hoH2qd,1
79,Today is our last fansign! Lets meet and have fun belbel yorobun!😍 See you in Gangnam fansign!:) https://t.co/n72w97vD70,1
80,RT,1
81,RT Can you feel the #Love tonight 🎶💘 This #ValentinesDay we are giving you the chance to #WIN a £60 Pizza Express voucher. To en…,1
82,RT My one and only icon pack 🙂 Enjoy 🙂 https://t.co/imF4sU50HL,1
83,RT I love the way Jared says this 🔥🔥❤❤ His voice is warm &amp; beautiful 😍😍 #JaredPadalecki https://t.co/IiX5iSRLy5,1
84,"OMG, watch out for the GIANT poison ivy!😉🤗",1
85,BREAKING: to hire as Campaign Comm. Director Willie Brown is reportedly inconsolable… https://t.co/34VXWQt59W,1
86,Infinite or shinee lightstick please 😄 bismillah 🙇,1
87,"I'm only in my third semester of Hebrew, but I can try. 🙂",1
88,RT [EVENT🎉] GIVE AWAY ❣️ Just RT ✅ you can get one free 😍 Let's have our super cute bag together! 🛍💕 🍀 RANDOM THE LUCKIES…,1
89,RT If we aren't like this in 50 years I don't want you 😂😍 https://t.co/ADiwYSiQAz,1
90,RT Happy Birthday Annie 😘❤️ labyah!!! https://t.co/IRvutNBUP6,1
91,Awww that's so sweet of you to help Will out like that❤😊,1
92,RT 😊 I know you're happy when you don't need people's validation and approval behind those smiles and eye sparks. You've waited fo…,1
93,RT #svengoolie it's synchronized swimming (at it's finest! 😁),1
94,Thank you Gail &amp; Clayton! Looks AMAZING. Now to get someone in the U.S. to buy it for me 😁,1
95,happy b day!!! 😎,1
96,RT If you feel this right now Sad Feel that you are alone Depressed Lack of motivation Any kind of problems Hey cheer…,1
97,RT he was away for solat jumaat and I was sleeping and when he finished his solat he send this... this is just beautiful :') b…,1
98,RT Good Night 😘,1
99,RT I love sunflowers 😍😍 https://t.co/aODDYk3BW5,1
100,..The greatest gift of life is Friendship; and I have received..😘 Thank you so much dearies..😘 #JanuaryBirthdayGift https://t.co/y2OKL0E9WJ,1
101,https://t.co/3H2Mo9yEJI,1
102,RT S/O to my for slaying my hair Thanks boo😍🥰 https://t.co/AxFcGbeDen,1
103,"RT Good morning NCTZENS, don’t worry, we are doing all we can to make sure you all get to watch NCT Dream this coming March 7…",1
104,RT 5. #JehadiSympathizers Litfest Participants: Lahori kebabs and Karachi halwa is lou. 😍 Crossing at Wagah border is so photo…,1
105,me: when your favorite artist retweeted your tweet twice!!!! 😍😍😍😍 https://t.co/plE20GiLj0,1
106,RT This just made my day....I’ve made it!!😮🤗 https://t.co/Zpxk8FZtR6,1
107,"RT Gon to Hyunsuk: Don't worry Hyunsuk-ah, Hyung is always here 🙂 You have worked really hard, you deserve it. Take care of your…",1
108,"RT It's live! 😍 Friends, this is a phenomenal resource--a list of 1,400 (!) books in Black Women's Studies PLUS a wonderfull…",1
109,Great memories with Leadership Rockland crew at Time Nyack Grand Opening! 🙂 https://t.co/YXVwh9aDOF,1
110,RT,1
111,"RT #RRBC #IAN1 #SFFBC 😲 ""I must admit that at first 'Tales from the Riverside' didn't really seem at all like the kind of boo…",1
112,RT the only road blocks in your life are the ones created by your mind. you have the power to get through them all! 🙂,1
113,"RT Got me looking so crazy right now, your love's😍😍 #SarMel #içerde https://t.co/hLBlt7tSJ3",1
114,His hole so pretty 😍 https://t.co/ky1vCUMsat,1
0,RT You killed this !! 😭😍seriously wow you even got the blink down!!! 😭 you have to see…,0
1,RT I’m killing every feature I get on 😬🔥 y’all make this bit go Viral 🤧 https://t.co/ECSzOVDMwL,0
2,RT spot on 😭😭,0
3,"RT Omarion’s son Megaa is busting it down &amp; Omarion joins in. Bruh, I can’t take it 😩 https://t.co/S5z9mxwoUN",0
4,My favorite circus trick is when the animals finally snap and turn on their handlers because of all the torture they’ve been put through 😡,0
5,"RT ""As I am a celebrity, ill act more carefully from now on. For the past year,I've been doing my best to bring u all happiness.B…",0
6,RT New items now in the shop! I've also listed one of my paintings that I finally decided to part ways with 😭 https://t.co/Eg…,0
7,RT #EXO MV 24hr UPDATE LOVESHOT: 911K 😱😱 Tempo: 406K Growl: 117K EXOLS! Our views went back to 900K!! Call 911!! I can't b…,0
8,RT i still 🤚 😣/ _/|| _/¯ ¯\_ wonder 👋 \ 😩 || \_ _/¯ ¯\_ wonder 🤚 😳/ _/…,0
9,41 freaking days til florida 😭,0
10,Does not help the case that is #bffs with Bad couple weeks for all #democrats 😬😬😬 •… https://t.co/UCPj4qrzIq,0
11,RT My grandma going around telling people i fix phones just cuz i took her phone off silent 😭😭,0
12,I want some cheese fries from Mickeys 😩,0
13,RT jiyong is so soft when he is interacting with his fans 😭😍💕 https://t.co/10zj8AStBM,0
14,RT Cob walk around singing all day. I just want to take a nap 😭,0
15,"RT If you don't believe me or think that I was being bias when I said Dowoon has improved a lot, here's a video of him playing Fi…",0
16,RT I got off-white but she gonna choose a mans who still wears boot cut jeans 😞,0
17,RT Yo I am weakkkkkkkkkkk 😭😭😭 #JussieSmollett https://t.co/T9e4GCn14V,0
18,RT I didn't expect the Lonzo Ball and T-Pain battle to go like this 😂😭 https://t.co/g0ZvCJeUaB,0
19,RT YOU DO NOT WANT THE SMOKE 😤😤 https://t.co/pgz6bd5WqY,0
20,i really do. i’m so obsessed 😩 https://t.co/XXz0Gc6iY9,0
21,"RT Lisa made sure to remind rosé she’s pretty, didn’t let jisoo goof around alone and answered ALL jennie’s questions patientl…",0
22,I miss u too 😢,0
23,y’all ever look at your top 25 most played songs EVER in Apple Music 😭😭😭😭😭😭😭😭😭😭😭😭😭😭 it say a lot about you,0
24,I feel like Kim when she wanted to dress like Kylie when I’m asking my niece where she got her thrasher hoodie from 😭😭,0
25,RT jisoo is really pushing herself to speak english 😭 “one chicken please” “have a good day” 😭 https://t.co/hOZmzZMqhW,0
26,My back cramping up 😩 and my stomach hurting a lul,0
27,RT If you ain't gassing your girl up like this then you don't deserve her 😤 https://t.co/shac5NAFGA,0
28,RT Hildegarde can have my heart any day of the year 😤 #DragaliaLost #cutiesaturday https://t.co/RxhEM0LF6A,0
29,Why did i wake up feeling the worst😭,0
30,"RT The time the KKK try to rally in Anaheim , we don’t fuck around in California 😩😂 https://t.co/jPdi3eBCFy",0
31,RT Nobody’s nastier than a drunk mf who love the shit outta you 😭,0
32,nigga what 😳,0
33,"So sorry , what a tribute, I know it’s heartbreaking. No words will help. 😞so sorry https://t.co/8kqp4qTJAu",0
34,RT woojin walking pass the bodyguard nim and he smiled so widely greeting him 😭😭💕 https://t.co/j146BZ0ble,0
35,omg 😭 i remember!,0
36,pretty sure I’m developing a ganglion on my wrist and I’m not happy about it whatsoever 😠🙅🏼‍♀️,0
37,"Yup it’s official , I have burnt all my hair off 😩 i just want my curls to come back",0
38,"I feel so fucking useless right now. I'm trying to be strong for someone, but its hard. I just want to be there with her... 😭😭😭",0
39,RT Lmao Uber in Atlanta different different 😂 this is the most Gangsta response I have ever heard 😭 https://t.co/jeangZflmx,0
40,RT WAIT FOR IT 💕❤️😭😭😭🐱🐱🐱❤️💕 https://t.co/fTTdEF3fFF,0
41,Beyond frustrated with life I just want to cry. 🙄😞,0
42,RT Lost in the lasers 😵 https://t.co/Dezr0mWL8I,0
43,RT I thought having 70+ cousins was normal.. People really be out here with 3 cousins 😭😭,0
44,RT wasn't really a fan of flowers so last year my boyfriend gave me a bouquet of chicken and now he gave me a bouquet of socks…,0
45,RT I miss pop up video 😩 that’s how I got hip to all my fav oldies 😭,0
46,Lmfao what is this 😂😂😂😩😩😩,0
47,RT WOW. 😱 pulled up from half-court to win the #TacoBellSkills challenge! https://t.co/C9aM8mSVnF,0
48,RT A 5-year-old battling cancer gets a surprise birthday visit from his dad dressed as Spider-Man. 😭 https://t.co/p65OHIZRTv,0
49,"I have 2 friends I can tell stuff to, but one NEVER cares what I have to say. She always thinks her problems are wa… https://t.co/1qLGYTjka5",0
50,thanks for making that game! it works well in the genre and folks have a blast playing it! 💀🔪😱,0
51,We’ve all be there 😟,0
52,AAAKKK THANK YOU SO MUCH FOR THE THREAD😭😭😭 i love this so much T__T i'll always support kim doyoung! once again th… https://t.co/j2XvannaJ9,0
53,RT last first game of this little munchkin huhu 😢 https://t.co/po7cfxM2Qi,0
54,RT The biggest glow-up is from being just a background for a Korean fashion show to becoming global artists whom every d…,0
55,Sis i said global warming will be the death of us 😭😭😭😭🤣,0
56,RT WOW. 😱 pulled up from half-court to win the #TacoBellSkills challenge! https://t.co/C9aM8mSVnF,0
57,This is still a mood😭 https://t.co/br5AIbsVWf,0
58,"RT Sistahh, you have to learn how to put your needs &amp; your life BEFORE your emotions. Chasing love can leave you unfocused &amp;…",0
59,yup i have too much stuff 😭,0
60,RT It’s 10x worse to see it 😭😭 https://t.co/OiuLp8b1bP,0
61,"RT So I’m not very good at these but as a single dad, I’m trying😭 my baby girl turned 7 months on the 10th of February (,: my…",0
62,RT WOW. 😱 pulled up from half-court to win the #TacoBellSkills challenge! https://t.co/C9aM8mSVnF,0
63,Yikes 😬 https://t.co/3GWAHSRaXT,0
64,Holy crap! 😨 https://t.co/h82PbRY6Cv,0
65,"RT With my homies, our team, GOT7 😢 https://t.co/DqwcAYuKqM",0
66,I truly happy for the winners yesterday.. I really hope i can have the eye contact with them too😭 .. Please make th… https://t.co/P7p8uI8Uhw,0
67,RT Sheeeesh 😧 https://t.co/ISdmnXnp3Y,0
68,RT WOW. 😱 pulled up from half-court to win the #TacoBellSkills challenge! https://t.co/C9aM8mSVnF,0
69,Ummm thats arm doing the post match interviews! Tough one for America but awesome job AC! H… https://t.co/ubpIk47IQD,0
70,"RT Omarion’s son Megaa is busting it down &amp; Omarion joins in. Bruh, I can’t take it 😩 https://t.co/S5z9mxwoUN",0
71,RT “Luck will find you “ Me : Well do the bitch need my address 😭💀,0
72,can this girl on my main make this mf gc already so i can make friends who are going to the same college as me 😤,0
73,Mood 😂😭🤭 https://t.co/h4OO2TDWAK,0
74,"RT ""NO HE DIDN'T!"" hit the half-court bomb to defeat Trae Young and win the #TacoBellSkills challenge! 😱 https://t.c…",0
75,Slay queen🙏🏼😩 https://t.co/XrR0OwXG84,0
76,RT This is unbelievable 😭😭https://t.co/v9XCLGpZqG,0
77,"RT The time the KKK try to rally in Anaheim , we don’t fuck around in California 😩😂 https://t.co/jPdi3eBCFy",0
