Id,Code,Browser,CLDR Short Name
1,U+1F600,😀,grinning face
2,U+1F601,😁,beaming face with smiling eyes
5,U+1F603,😃,grinning face with big eyes
6,U+1F604,😄,grinning face with smiling eyes
8,U+1F606,😆,grinning squinting face
10,U+1F60A,😊,smiling face with smiling eyes
12,U+1F60E,😎,smiling face with sunglasses
13,U+1F60D,😍,smiling face with heart-eyes
14,U+1F618,😘,face blowing a kiss
15,U+1F617,😗,kissing face
16,U+1F619,😙,kissing face with smiling eyes
17,U+1F61A,😚,kissing face with closed eyes
18,U+263A,☺,smiling face
19,U+1F642,🙂,slightly smiling face
20,U+1F917,🤗,hugging face
