,tweet_text,sentiment
0,I won’t be thank you though 😘,1
1,RT 😎👉👉 rts appreciated https://t.co/TRYsZ5ywSi,1
2,no more deep conversations with my favorite person. just accept the fact that it will happen anytime soon. just be ready always😊,1
3,RT 190126 Therefore Such a beautiful 😊 #박지훈 #parkjihoon https://t.co/y9CN8fw36N,1
4,RT Bumpy rides 😍 https://t.co/4rO4Cu2beq,1
5,RT Avoid eating too much of the following when you have acne: White rice White bread White potato These cause a sudden…,1
6,RT In today’s vlog we visited the place where some of The Notebook was filmed and where Ryan Reynolds and Blake Lively got ma…,1
7,Cute😍😍😍,1
8,RT Finally! The week we've all been waiting for. 🎉 🎈 We can't wait to celebrate with you. 😁 ➡️ https://t.co/D2lRPJGWjx #…,1
9,RT Good memories 😊🤣🥳 #jhope in #GRAMMYs https://t.co/rifQLjM2cP,1
10,If you visit our airlines website https://t.co/eqi3fV5PY3 you'll be able to book a flight there 😊 ^Ruby,1
11,i cannot believe she’s 50😍 https://t.co/1b9SmfSt3p,1
12,Aww hope you feel better 😘😘,1
13,RT thank you very much! 😀🌺,1
14,https://t.co/8zjCnZ8Lpz,1
15,Silent Investor 😎,1
16,"RT Good morning NCTZENS, don’t worry, we are doing all we can to make sure you all get to watch NCT Dream this coming March 7…",1
17,"RT I'll quote Emerson here: The ancients have stolen my ideas! 😁😁😁😁 they've not only said it briefly,…",1
18,Back atcha. 😘,1
19,Gotcha Kevin. Thanks cool dude! Appreciate FB. 🌴😎🌴 https://t.co/cx0LmsZT8P,1
20,RT,1
21,RT If we aren't like this in 50 years I don't want you 😂😍 https://t.co/ADiwYSiQAz,1
22,Thank you ya!! You are the best!! 😘😘 https://t.co/oQKOPZX4RO,1
23,awww tysm i can’t believe it at times too 😆♥️,1
24,"Great new photo, by the way!🙂",1
25,RT I also never want to destroy my kids’ curiosity. It’s so easy for adults to “shut kids down” when they’re asking too…,1
26,😘😘😘😘 #nickiminaj 🎼 is on #audiomack as well Payola pays YouTube now Twitter 🤬🤬 https://t.co/e57yUVDRmJ,1
27,baby boy having fun w hims daddy tonight. 😍😊 https://t.co/losTt9Orja,1
28,"RT Please play ""With You"" by 😉⚠️😍",1
29,"RT ✒💻🌻Visit my website! over 11,000 have! See the awesome interactive content or leave a #comment or #prayerrequest &amp; read boo…",1
30,We waiting on you 😘,1
31,Beauty😚,1
32,RT this might be the best thing ever invented LOL 😍 https://t.co/XCtNk7XNtS,1
33,"RT ""Loving yourself starts with liking yourself, which starts with respecting yourself, which starts with thinking of your…",1
34,I promised when we graduated i will introduce my self 😊 - 🚹 — OSGEEEE PO https://t.co/p8BQdcEjSG,1
35,"thank you so much, jela😘💛",1
36,Islam does 😚 https://t.co/vOzHomS2cN,1
37,I’ll take that L gladly 😆,1
38,"If you love music, LISTEN UP 🎶 🎺🎧 for the artist recorded with 😊… https://t.co/OP11wbySra",1
39,RT It's our 2nd day bday cup sleeve project for Jhope's bday! Catch you later at for a Hopey bday event at 1p…,1
40,RT SinB jokingly raised her hand too high when the fans wanted to give her high five 😆 https://t.co/zq2cs9oB1N,1
41,i’m not even sorry bro these are heat😍 https://t.co/82TGQtnFN1,1
42,RT Good evening all😘🌙⭐️💙💖🌟✨ https://t.co/HYb80G4HCS,1
43,"RT Hey, guys! I finally got the thumbs-up to announce that I’m voicing Jiren in #DragonBallSuper! Perhaps not a ginormous…",1
44,JINSUNG ALWAYS AND FOREVER!!!! 😍😍💕💕,1
45,"RT My muscles are not feeding themselves tonight and I still have no idea what I want to eat, so start sending money and s…",1
46,RT She’s Jisoo 😊 https://t.co/mCWIQcAVUv,1
