,tweet_text,sentiment
0,Good Morning kuys 🤗,1
1,Aye me I was my own Valentine and I got myself a new plant and candles 😊😊🌿 romaaaaaance 😍,1
2,RT Bringing this back to the time line because the violinist was cold and this lil hoe was throwing her li’ass 😭😍🙏🏼 https://…,1
3,RT Beautiful Sunday morning from this beautiful written article 💯❤️😍✅ #AloneTogetherWorldwide https://t.co/TmZdIkyk0t ‘LizQue…,1
4,RT Let’s Connect The World! 🤗 🇦🇺🇿🇦🇰🇪🇮🇳🇳🇬🇺🇸🇿🇦🇰🇪🇮🇳🇳🇬🇺🇸🇦🇺 Reply “❤️” and Follow All. Follow Me for Fast FB 😊 Let’s Gain Friend…,1
5,RT Anyone else play the free DLC for #ResidentEvil2 😅😄 I had fun with it but I still don't have that raccoon hat 😂 📸 Timothy S…,1
6,RT Johnny the ladies man 😎 https://t.co/SbUmY958KG,1
7,RT good morning from my favorite mag-beshiekeyks 😍💙 https://t.co/nSGwgrj5NO,1
8,is my #wcw! I mean just check out the sheer magic she creates!! 😍😍 #catherinedlishrobe… https://t.co/TgNqByZSoc,1
9,Had PB&amp;J sandwich for dinner 😊,1
10,RT Wish you a very Happy birthday to you Anna Stay happy 😁Stay Blessed👼 as always 🙂 Aandavar Ummodu irupparaga…,1
11,RT Soft😍😍😍😍😍😭😭😭😭😭😭 https://t.co/dwMDC1Y3s5,1
12,Hope my Japanese is understandable lol. I try😊,1
13,You feeling the song and trynna stay pretty at the same time. Pick one 😍😂 https://t.co/cIzvPt1lTy,1
14,RT This is Henry’s nightly routine before bed. He has to have his blankie to cuddle. 💕🤗 https://t.co/m8WOkJqQRN,1
15,RT She’s sooo cute 😂😍🥰🥰🥰🥰 https://t.co/vZSC3u3bMs,1
16,RT Super hot and sexy Randy. 😍🤤🔥 [FULL VIDEO] https://t.co/XjYFcrR3iw https://t.co/FF17QHvWNY,1
17,I get to see tomorrow 😍😍😍😍 #universalmardiGras,1
18,RT Pongal Fight #F2 - Winner #VinayaVidheyaRama - Highest Grosser #NTRBiopic - Highest Loss venture #Petta - No Comment 😆😆,1
19,RT It's all because of 😄 #Timeless #SaveTimeless https://t.co/rho3s1kr2K,1
20,RT Kiss you both JUST KISS 🥺💜😍 #Taejin #BTSinFukuoka https://t.co/delmxuyQQB,1
21,thank youuu beautiful 💋😍,1
22,Happy birthday 😘😘😘,1
23,Um 2 bad 😘,1
24,RT I'm Kofi Ofosu. I'm a character designer from Ghana. Please RT my next client might be in your timeline. Thanks folks😃 htt…,1
25,done did! Will definitely keep this in mind 😘,1
26,RT Smack that 🍑💋🤗👋🏻 https://t.co/LkIzHQScak,1
27,RT Lol she like Dad leave me alone 😆😩😍🙏💙 https://t.co/Zrd7EaYZa4,1
28,that sink looks vintage😍,1
29,RT That jump tho 😄💕 https://t.co/icZ6VqrSqV,1
30,RT ✨ongniel anatomy✨ i know it's not the best but i had fun editing this😆 https://t.co/fDMFDl1GNv,1
31,RT Pure perfection😍 https://t.co/SBTTH1E7JV,1
32,RT What a woman 😍❤,1
33,RT She's the cutest when she's mad 💖🤗 https://t.co/BfSQODHJml,1
34,RT ptbo gonna b snowy for the next 567373 months so i gotchu 😎👌,1
35,RT So sleepy! 🙂 https://t.co/CKIe4IMPWb,1
36,"RT Hello Twitter, I am a ShoeMaker who makes incredibly nice quality shoes at affordable prices. Pls Rt for me. My custom…",1
37,RT 💦Cum with me DAILY for FREE💦 ➡️RETWEET &amp; Sign up to https://t.co/13G48sFcqA and DM your username for your FREE nudes AND prem…,1
38,Oh that widdle nose. 😘😘😘❤️,1
39,Kentucky game to play!! This is the team I love to see 😍😍😍,1
40,😀♥️👍👍 Or a Mint tone.,1
41,RT Good memories 😊🤣🥳 #jhope in #GRAMMYs https://t.co/rifQLjM2cP,1
42,"RT Start this clip at :18 seconds, it’s all you need 🤗 https://t.co/aBhHqQH054",1
43,First of all 😍 shoulders 👅 https://t.co/9QmMtxyFpf,1
44,Wowie I love the shit out of you 😍,1
45,"When randoms msg me ""reported"" on steam when I killed them in Rainbow Six Siege.. 😅😘 comeonn.. https://t.co/YG6azma6IJ",1
46,RT Wishing you a very very happiest birthday thalaivaaa ❤️❤️🤗💐💐🎉🎂🎊🎊😀 You are my hero forever. Love you s…,1
47,RT Here is the bday spcl surprise .. finally the big day arrived ...to reveal this art...its my fav thought came to my min…,1
48,Aaaa but melted cheese dabest 😍😍😍😍,1
49,😍😍😍 RT My forehead is huge 🥺 https://t.co/tG6dyV2Lyj,1
50,I really enjoyed this! 😊💞💞💞 https://t.co/23phnQtzlI,1
51,RT Happy Birthday Annie 😘❤️ labyah!!! https://t.co/IRvutNBUP6,1
52,"RT Okay, Tommy really is white 😀 https://t.co/jn4H7hQLTY",1
53,RT If football had a 3-Point Contest… 😍 https://t.co/ZzXFNezm3T,1
54,RT How cuteee 😭😭😍😍 https://t.co/mqZ4cPrSY9,1
55,Beautiful day at the park! 🌞😎⚾️❤ https://t.co/wqM1wu5whw,1
56,Yes ma’am 😊😊,1
57,😍 #Incredible Yes u 👉👈👆👇 #Ff #twitterfav https://t.co/NcckOjNjSd,1
58,https://t.co/t8p6pcB5I6,1
59,RT PRE / 190216 LY Tour Fukuoka #태형 #뷔 #태태 #방탄소년단 #BTS thank you 😊💜 https://t.co/H8910a5NTp,1
60,Done &amp; Done 😃,1
61,Definitely! I don’t even know what season number this is..but I know I dislike more of the cast than l… https://t.co/RDNFjAICjF,1
62,RT Time flies but feels stay ♥️ Thank you as always and more years to come 🥳 Cheers for the three years! Every Happiness th…,1
63,RT RT this and DM me for nudes 😍💦💦💦 https://t.co/LnMOHGQtmt,1
64,RT Years May Change But His Attitude Never Change 😊👍 https://t.co/qb8BN2YsKa,1
65,"Hi! I would love if you play my favorite song, #WithYou by tonight on Th… https://t.co/kDztoLYJDO",1
66,Blessed Sunday! 🙂,1
67,RT pick your valentine 😘 #辻野あかり #砂塚あきら #夢見りあむ https://t.co/uf0nLh72oq,1
68,😍So grateful for all the amazing people donating to my fundraiser! If you’d like to chip in here’s the link: https://t.co/nvZ7AF1jRC,1
69,RT look at how beautiful my niece is 😍 https://t.co/O0qDdkpXMg,1
70,RT Oreo Ice Cream Sandwich😎 https://t.co/zN4hFyBM04,1
71,"RT Bombshell Ladyboy Likes To Fuck Guy In The Ass Part.1😎 🤟Comment, Suggest And Respond To The Survey On My Profile🤟",1
72,"RT For all the developers &amp; designers that have relocated, please help your folks to migrate too. The Nigerian developers…",1
73,"Happy Birthday! 😍🎉🎂 God bless you for having such a good heart ❤ Continue inspiring us, continue m… https://t.co/ux3pVzlren",1
74,RT Happy Sunday 😊😊😊😊 https://t.co/72RYXPVqGY,1
75,Spoil me 😍🎉❤️🎊🎈 My bday is Tueday February 19 But it starts now FOLLOW ME ON snapchat throatmonster2… https://t.co/fegF044AAD,1
76,"RT Under #Utah law, the legislature may replace or modify ballot initiatives, so we did. My theocracy still works! You ha…",1
77,Chocolate chai latte from chatime 😍😍😍,1
78,RT We all do but we have to love ourselves first that's the only way to truly be happy... Vote for #QueenNaija…,1
79,RT Good Night..Thankyou..HAVE a great weekend Too😂😀💖😉,1
80,It’s my baby daddy’s birthday 😘🤰🏽,1
81,RT If You Want To Gain Followers 🥁🥁🥁🥁🥁🥁🥁🥁🥁 🙋‍♀️ Retweet this 🥁 🙋‍♀️ Follow all that Like &amp; Retweet 🥁 🙋‍♀️ Follow back all that f…,1
82,A long walk along the French Riviera shores 🤗😘😘 jessicakes33 - Ready to watch the sunset babe 🙃 . . Write your f… https://t.co/rl5HQUD0Vl,1
83,RT travel in style 😎 https://t.co/Pd8Mbo9Ovz,1
84,RT If football had a 3-Point Contest… 😍 https://t.co/ZzXFNezm3T,1
85,This made my whole year 😍,1
86,RT WE GOT KAWHI TO SMILE!!!! 😁 https://t.co/SANMM3S1Ho,1
87,Watching #myneighbortotoro for the first time. It is so beautiful 😍 https://t.co/TQFsGtknEv,1
88,RT Aaaaghhh muffin 😍 https://t.co/p7RuI5q83i,1
89,RT at #WrestleMania she will take revenge I want to be in the front row to see that Bex will put the brothel #The…,1
90,RT Bulldog teaches self love 😘 https://t.co/ljZKMEx2Gg,1
91,😄 I know mine is!,1
92,RT Happy weekend all 😘☀️🌊🐎🐎🐎💕 https://t.co/TayeAiPw2p,1
93,RT If we aren't like this in 50 years I don't want you 😂😍 https://t.co/ADiwYSiQAz,1
94,RT 📊TOP50 Most streamed artists in Soribada Music Charts. #EXO is most streamed artist with 55M+ overall stream🎉,1
95,I love u kare. 😘,1
96,😘😘😘😘❤️❤️❤️ thank you baby,1
97,Wow!!! 💩!!! I’ll be keeping my eyes wide open here 😍🤩 #axlrose #gunsnroses #sedona https://t.co/8WG9n0bEZg,1
98,My nigga fucking with the Whataburger 😎 https://t.co/UmSJ94fHOO,1
99,Go get em Judge! Best sh… https://t.co/42PUlUUoO1,1
100,RT taehyung nudge jungkook a little and motioned his hand up as if to carry seokjin and they did hskssj double trouble 😆 #BTSi…,1
101,My new tattoo ❤️🦄 #BornThisWay #LadyGaga #tattoo ❤️😍 https://t.co/qZKDrU7FUl,1
102,RT Good morning RH fam! I just wanna share this video of our Queen Riva dancing Hips don't lie last night at Olivarez Coliseum…,1
103,"RT Start this clip at :18 seconds, it’s all you need 🤗 https://t.co/aBhHqQH054",1
104,RT [ gaining mutuals! ] rt if you stan — ; mamamoo (ult) ; weki meki (ult) ; exid (semi-ult) ; clc (semi ult) ; loona ; tw…,1
105,RT Natural ice🤗Where is goalkeepers or skating. Here comes future Stanley Cup winner or skating Olympic winners 😉. Someday 🤗 Mayb…,1
106,"Well, there's an upside to having kids 😁",1
107,"RT your team mendiola, as graduates 😂😅 char lang haha tambay ng legarda just joining the bandwagon of this college gradu…",1
108,"Valentines Day Gifts, flyin’ fists and bloodied lips! Hope your Valentines Day was memorable my dear 😍 https://t.co/7RntyFuwDe",1
109,You just inspired me I'm getting right to it ! ❣️😍,1
110,Hey josh! I love youuuuu sobraaa😘,1
111,Speaking to a work colleague earlier about how I can’t reverse. At the end of his shift I had to reverse my car out… https://t.co/4C7MclFePE,1
0,This is you guys last chance. We’re getting angry 😤- I need to see the altercation!!!,0
1,RT I thought having 70+ cousins was normal.. People really be out here with 3 cousins 😭😭,0
2,"RT Omarion’s son Megaa is busting it down &amp; Omarion joins in. Bruh, I can’t take it 😩 https://t.co/S5z9mxwoUN",0
3,lol yh its annoying now ppl wont follow😭,0
4,YAY I'M SO HAPPY SHE MADE IT TO YOU SAFELY 💕💕💕!!!! HAPPY WILLATINE'S 💖🐈!!!! (also I'm cryin at those cu… https://t.co/rk6BtA1QuH,0
5,Help me clear these items 😭😭😭 https://t.co/NoIzyk555N,0
6,RT Shit will forever be the funniest 😂😭😭😭 https://t.co/fTEr2w9B70,0
7,"RT Dont smile. Its hurt me😭 Pledis, take care your artist #플레디스_아티스트_보호해 #플레디스_아티스트_보호해 #플레디스_아티스트_보호해 https://t.co/znHuCzHYsj",0
8,RT My grandma going around telling people i fix phones just cuz i took her phone off silent 😭😭,0
9,"RT Omarion’s son Megaa is busting it down &amp; Omarion joins in. Bruh, I can’t take it 😩 https://t.co/S5z9mxwoUN",0
10,Forever ordering clothes I don’t wear😩,0
11,RT I cant believe jm literally forced jk to hug him 😤😤🤭🤭😡😡🤬🤬,0
12,RT Aye man y’all... I can’t be the only one who sees these prices 😭😭😭 https://t.co/X6MreK8mNt,0
13,Planning a surprise trip for my grandmas birthday and I’m so excited❤️ only thing is I can’t go 😩,0
14,"RT bodyguard ahjussi looks so happy when he spots woojin,,, im so glad to see this interaction he must have treated w1 like his…",0
15,"RT This happened in the Polish League, the weirdest thing I have ever seen in my entire life on a football pitch. What is goi…",0
16,I’m addicted to shoes and books. 😭,0
17,Don't teach us about failures being stepping stones to success! 😡 Mr RaGa ha… https://t.co/xEWdZbWzwH,0
18,RT 😭😭THANK YOU MR.RAYA......AAAAA BOTH OF THEM IS SUPER CUTEEEEE Source : skaterraya instastory https://t.co/HcWR8qSNgA,0
19,RT You won't see an ending with crazier consecutive bounces. 😱 gets the most important roll: The last one. http…,0
20,RT Damn Herb &amp; Ari Going At It On IG 😬 https://t.co/Gsj5YnmRw1,0
21,RT Yeahhhhhhhh Herb Fuck She Talmbout 😭😭😭😭😭😂😂😂😂 https://t.co/5LyyqflLFd,0
22,Accidentally fell asleep for 3 hours whoops 😭😂,0
23,"RT #BTSinFukuoka Day 1 ANPANMAN KOOKV When the stage got dark, Tae jumped on Kook's back!!! I was shocked (but from my vi…",0
24,RT I Seen Niggas Violate they mans just to get a Bitch to Laugh. 😱🤔,0
25,😭 my poor 💓 the Angst is killing me. Love your story (+_+) I better see a happy ending sometime soon. — thank you… https://t.co/6c3pHq7tmW,0
26,RT #THESAEMxSEVENTEEN #SEVENTEENIinKL #SEVENTEENinMY jun is still in malaysia in the departure hall😭 he's waiting for the oth…,0
27,I wonder if Ari and 50 related 😭😭 they giving me cousin vibes from being miserable,0
28,"RT Omarion’s son Megaa is busting it down &amp; Omarion joins in. Bruh, I can’t take it 😩 https://t.co/S5z9mxwoUN",0
29,I had to do my community day at work 😞 but I’m glad I still walked away with one ☺️✨🐷💚 https://t.co/CNG1ioa0P4,0
30,RT Local Kashmiri Muslims were stone-pelting our injured &amp; dead CRPF Jawans after the terrorist blast. Can you believe that!…,0
31,RT AHHHH Dispatch’s photos of Hyunjin during his graduation 😭💕 https://t.co/OZ4gEMFUQY,0
32,"RT The time the KKK try to rally in Anaheim , we don’t fuck around in California 😩😂 https://t.co/jPdi3eBCFy",0
33,RT Lol she like Dad leave me alone 😆😩😍🙏💙 https://t.co/Zrd7EaYZa4,0
34,RT Little kids are ruthless ☠️🤣😭 https://t.co/LEvxlLMxI2,0
35,KSJDN 😭 also your shadowbanned :/,0
36,RT If you look close there is cum in there 😬🤪🙂 https://t.co/OEHciuCZYo,0
