,tweet_text,sentiment
0,RT Luka's just having fun with it! 😃 He beats Kyle Kuzma to move on to the #TacoBellSkills semifinals! https://t.co/rNvN1OSM5Z,1
1,This is Peter!! He’s a german prince in this medieval comic I’m drawing 😃😃😃,1
2,You got this babe😘,1
3,"RT All good things must come to an end. Wow, what a run it has been. After all of the trials and tribulations, this is an endin…",1
4,"Yeah, I wish they added Tremor again in #MK11. Would love to see him back alongside Kano a… https://t.co/jz7XM94wXv",1
5,RT I am giving a talk at later this month and I think it will be smashing 😁 https://t.co/zzdnyGWWyI,1
6,Whoever loves glitter is gonna love my new update ✨😊,1
7,Holy cow!!! 😀😄 Reminds me of this! #nbaskillschallenge #champion https://t.co/EUMQ2fPnQ3,1
8,https://t.co/TSrZryThnn,1
9,RT Guess I should not be surprised this scene was so fun to film. I love playing with myself. Uploading all 11 minutes of it l…,1
10,Wheeeeeeeeeeeeeee *Jump right into their crotches under bunny suits* 😎,1
11,Kathryn Hahn aplaudiendo a Sarah Paulson 😍💖🌈🦄🎉 https://t.co/2b1Cfy2DMO,1
12,Jusko shawn 😍 https://t.co/NjjsxKCk7F,1
13,We need an Aly &amp; AJ comeback! 😩😍 Cc: 🔥🎶🔥🎶🔥🤘🏼 https://t.co/ochqZaKxPu,1
14,RT Hello dear friends ✨💖✨😘 Have a nice time today ✨💖✨🌷 https://t.co/lPcQcO1E9X,1
15,RT Gerber and Cerelac please get this cute baby to endorse y'all products.. she'll make it number one. 😍🤩 👶🏻 #BLACKPINK #JE…,1
16,RT [IKYMI] 160216 Airport Candids ✈ One of Kyungsoo's softest airport looks 😆 © as marked #도경수 #디오 #DO (D.O.) #DohKyungS…,1
17,RT [BTS TODAY] 190217 Today is the last day of BTS WORLD TOUR ‘LOVE YOURSELF’ Japan Edition. Thank you to all the ARMYs w…,1
18,Happy birthday Mr. Local... You are a true example that ' Hard work never fails '💐 Happy birthday… https://t.co/z7iej4Unnb,1
19,https://t.co/YjGQ4XTfio,1
20,RT Bitches be so mad they always on your page tryna find something wrong with you and tryna call you ugly but they are th…,1
21,He looked totally guilty 😍,1
22,Having a #Netflix night watching #bingewatching worthy 😎 https://t.co/Txjf5WE0eC,1
23,RT Not gonna lie...we’re impatiently waiting for the new menu to launch on Tuesday so we can rip into our new spinach dip…,1
24,RT Trump 🚂 moving forward,1
25,RT Ooooohhhh who is she😍 https://t.co/CR5gCfszoB,1
26,Yeah! Spirit animal 😍😍😍😍 https://t.co/R52QVPv5R1,1
27,Nahhh you look fine!! Oakley is a great brand too! 😍😊😊,1
28,And Tatum killed T. Young in only one shot. 😂😎,1
29,RT The sky can be so photogenic 😍 https://t.co/AXWggmWXDF,1
30,RT i’m about to post a new video and no spoilers but it’s my favorite video i’ve ever made 🤠😎😎👍,1
31,You should totally play there!! It’d be lit!! 😄,1
32,That is a good one.😊,1
33,PERKINSPIRED 😍miss you🥰 https://t.co/8g0Awd6p5i,1
34,RT Loving this new bath bomb 😍😍😍 https://t.co/tWSbZXDONr,1
35,good morning 😊,1
36,Awwww yay! Dm me sometime 😁,1
37,Beautiful! ❤️😍,1
38,How I spend time 😍😈 #anal #toy #bbc https://t.co/ej6EsgW1VC,1
39,Always playing catch me if you can 🤗,1
40,https://t.co/3Mf7DT1dfD,1
41,RT Wishing one of the most Humble person ever sir a very Happy birthday 😁 !! Stay blessed as always sir 😊,1
42,SUZY PAREEEN 😍😍😍 https://t.co/P1GfMt5uLI,1
43,RT Hockey players on Valentine's Day 😂😘 https://t.co/Qr8hOX7nHF,1
44,HAHAHAHAHA NO PROBLEM 😂 THANK YOUU 😆,1
45,RT Good memories 😊🤣🥳 #jhope in #GRAMMYs https://t.co/rifQLjM2cP,1
46,RT ㅋㅋㅋㅋ ofc daniel give them inspiration 😆 the way they talk abt him 😆 Daniel's stan detected!! PD-nim please cast Daniel…,1
47,"RT Driving home from a day out, I get passed by an incredible sounding Aventador. 😍 Which is being chased by a Zafira with…",1
48,No. Not the showcase match. It's still gonna be a lot of fun though.😃😃,1
49,RT Ion Even Play With Bitches 💁🏽‍♀️ Hoe Go Die 😘,1
50,https://t.co/v6iFTyPhXy,1
51,RT I’m so excited to be at Disneyland with my best friend again next week 😍,1
52,"RT #ALDUBLoveForKeeps Good MAICHARD morning to all! Relax, smile and KEBS lang! I AM FOR MR&amp;MRS FAULKS ........all the way!…",1
53,“ Know a bad bitch when I see one Tell I need a threesome “😍😫🤪,1
54,RT Perfect 😍 https://t.co/vfYI0ldz5x,1
55,RT that latest episode tho😍😍😍😍😍😍😍😍😍😍 I’m on a rollercoaster ride here.,1
56,RT I got money but i'm broke. Don't ask me for shit 😊,1
57,You are the one who messaged me in the first place. 🤷 I don't re… https://t.co/OwX5UXOuH7,1
58,RT RT come get me 👅 me lol 😍 to night 👅🙏 my pussy is tasty reality 😍 RT if you want to my fhone Number 👅😍😻😻 https://t.co/NO7…,1
59,RT Hello dear friends 💗✧◦😘◦✧💗 Have a wonderful time today 💕✧◦🦢◦✧💕 https://t.co/3NyhwkWpy8,1
60,😩he can hype me up by calling me his girl and always says I'm beautiful 😭 😍that makes me have butterflies all the time😋😏,1
61,You're an idiot!😀,1
62,Cool 😎 tattoo,1
63,"RT PARK JI HOON is delighted to meet his lovely PH MAYs this coming 3/15, Friday, at the 🤗 This is presented to…",1
64,RT Stupid DMs. 😀 https://t.co/mLMkxTNcM4,1
65,When you literally just shoot your shot.....from somewhere near half court!! Too good #JasonTatum!! 😆 #NBAAllStar #NBA #NBAAllStarWeekend,1
66,RT They always find something to laugh about when they're around each other 😁 https://t.co/ne0pZWMmNn,1
67,"RT Nope I'm correct, no one will change my mind 😊. https://t.co/irDpROweei",1
68,RT This blind horse can feel the snow and he's enjoying it 😍😍 📹ig: endotheblind.morgan https://t.co/0hm6zkQfy4,1
69,RT Soooooooooo cute 💙💚😘 Good morning☀️ #2wish #คนของแปลน #ผู้ชายคนที่101 #MeanPhiravich #PlanRathavit https://t.co/9iTfcE…,1
70,"RT Valentines Day Gifts, flyin’ fists and bloodied lips! Hope your Valentines Day was memorable my dear 😍 http…",1
71,https://t.co/DfqYkpt845,1
72,This thread 😀😀😀 https://t.co/QIoJ8g9oWQ,1
73,RT V-Night lovers 😍💋 #HappyValentinesDay https://t.co/JgXsv60eoE,1
74,gaaahhh look at him 😍 https://t.co/dKX6yGnQQW,1
75,RT So the other day I did my first closure sewin😍 I think I did pretty goood but I need 1 more female to do a closure sewin on…,1
76,RT *Meeeeelts* 😍😍😍 https://t.co/7Oe2rsSBOu,1
77,RT Huge Happy 28th Birthday to my little eye doctor 😍 https://t.co/S6R12ZpTQs,1
78,"RT Hello Twitter, I am a ShoeMaker who makes incredibly nice quality shoes at affordable prices. Pls Rt for me. My custom…",1
79,RT An actual goddess 😍😍woah I’m in awe https://t.co/RdEQaYybMy,1
80,RT If we aren't like this in 50 years I don't want you 😂😍 https://t.co/ADiwYSiQAz,1
81,RT 📊TOP50 Most streamed artists in Soribada Music Charts. #EXO is most streamed artist with 55M+ overall stream🎉,1
82,"RT May every family experience Your great love today, Jesus. 😍💓💝 And check out this encouraging video here: https://t.co/Fu…",1
83,Don't cry because it's over. Smile because it happened. 🤗,1
84,Omg Purple 😍😍 https://t.co/lRCqPCJZsC,1
85,RT Omg yes someone please crop me in! I LOVE YOU GUYS💕😍😍 https://t.co/3wCovaHROW,1
86,✨we just hit 8.8k on and I’m so happy 😍🦄✨ ✨@MixerRetweet ✨ https://t.co/srR6mg0RGi,1
87,RT This blind horse can feel the snow and he's enjoying it 😍😍 📹ig: endotheblind.morgan https://t.co/0hm6zkQfy4,1
88,Shawn Mendes’ Calvin Klein ad 😍 https://t.co/foPZpzvnTq,1
89,RT goodmorning 😍😍 https://t.co/Flq2pwqzRh,1
90,RT Imagine 😙 https://t.co/4v6EdiS247,1
91,Such a shame 😆,1
92,RT Cameraman pointed on Jk's sexy abs which we all need it. thank you sir! 😍🔥👏💜 #Btsinfukuoka https://t.co/vAvhBDBwe3,1
93,RT SHE GOT HER ASSHOLE STRETCHED 😍 https://t.co/o69d6Ijs9e 😍 https://t.co/RmCf6FcDAH,1
94,RT PRE / 190216 LY Tour Fukuoka #태형 #뷔 #태태 #님준 #방탄소년단 #BTS It's not HD but I want to share this moment when Taehyung hug…,1
95,RT My fav kind of top😍 just like my papi😍😘😘❤️❤️ https://t.co/DHGLA2DCUn,1
96,RT Never stop 😊 https://t.co/UTEmfQn54a,1
97,RT 🏟️ 615 career appearances ⚽️ 224 career goals ⬆️ Back-to-back promotions with Southampton 😍 100% Premier League penalty recor…,1
98,MY FAVORITE DISNEY FILM 😊 https://t.co/XxeYzXMdmQ,1
99,"RT Help me record airplane bathroom content, smoking content, and over all fun! 😊 https://t.co/Yr21Iq3c9X",1
100,RT I need to try their brunch 😊,1
101,RT It's official... Doha has a special place in my heart 😍 Tough one today but congrats to on a great week.…,1
102,Aye!!!! Let’s go. 😎😎,1
103,RT New content being uploaded to Dropbox RIGHT NOW! Snapchat Premium is updated DAILY 😍 And I may or may not have just made…,1
0,RT Lol she like Dad leave me alone 😆😩😍🙏💙 https://t.co/Zrd7EaYZa4,0
1,RT Bringing this back to the time line because the violinist was cold and this lil hoe was throwing her li’ass 😭😍🙏🏼 https://…,0
2,"RT Chief called and confirmed, this ain’t it 😬😬😬",0
3,RT 37 pages of mentor text recommendations!! 😳🙌🏼 https://t.co/FAwvLuuvOk,0
4,Steff &amp; Beenzino 😭😭😭😭😭😭😭😭😭 https://t.co/qcA3bWilO6,0
5,Nooooo! I need my tunnel vision back 😩🤤🙈,0
6,🦊 got robbed you should have to complete the pass 😤 lol,0
7,RT Donovan Mitchell got me CRINE my boy is asking god for the strength to resist 😭😭😭 https://t.co/zck9ERmNbP,0
8,IK 😩 it’s just sorta gettin me down. I hate feeling “Whiney” like suck it up bitch you’ve been through wo… https://t.co/GCC7bJ8UBx,0
9,"RT Is it just me or do you ever notice that hoes can get good ass men, but the good girls get trash ass ones... that shit ma…",0
10,"Then be like, yeah ima take it this way... be safe tho 😭",0
